timestamp,TEMP_MCU,VOLTAGE_SUPPLY,CURRENT_DRAW,label
2025-11-10 00:00:00,46.82,3.319,0.274,normal
2025-11-10 00:00:10,58.06,3.321,0.273,normal
2025-11-10 00:00:20,58.99,3.295,0.327,normal
2025-11-10 00:00:30,54.92,3.312,0.286,normal
2025-11-10 00:00:40,56.15,3.336,0.295,normal
2025-11-10 00:00:50,88.15,3.382,0.429,anomal
2025-11-10 00:01:00,64.26,3.324,0.314,normal
2025-11-10 00:01:10,56.5,3.252,0.338,normal
2025-11-10 00:01:20,55.6,3.343,0.257,normal
2025-11-10 00:01:30,53.98,3.342,0.321,normal
2025-11-10 00:01:40,46.81,3.289,0.313,normal
2025-11-10 00:01:50,45.14,3.254,0.347,normal
2025-11-10 00:02:00,51.55,3.316,0.285,normal
2025-11-10 00:02:10,58.71,3.291,0.288,normal
2025-11-10 00:02:20,55.55,3.306,0.25,normal
2025-11-10 00:02:30,56.15,3.311,0.281,normal
2025-11-10 00:02:40,45.14,3.303,0.275,normal
2025-11-10 00:02:50,63.18,3.275,0.286,normal
2025-11-10 00:03:00,48.67,3.277,0.287,normal
2025-11-10 00:03:10,64.26,3.315,0.336,normal
2025-11-10 00:03:20,87.41,2.989,0.197,anomal
2025-11-10 00:03:30,49.63,3.317,0.278,normal
2025-11-10 00:03:40,59.67,3.309,0.297,normal
2025-11-10 00:03:50,62.39,3.348,0.293,normal
2025-11-10 00:04:00,55.6,3.258,0.296,normal
2025-11-10 00:04:10,64.34,3.284,0.329,normal
2025-11-10 00:04:20,55.59,3.348,0.334,normal
2025-11-10 00:04:30,52.71,3.273,0.278,normal
2025-11-10 00:04:40,50.85,3.252,0.294,normal
2025-11-10 00:04:50,60.54,3.343,0.288,normal
2025-11-10 00:05:00,52.17,3.252,0.272,normal
2025-11-10 00:05:10,51.25,3.266,0.265,normal
2025-11-10 00:05:20,49.97,3.323,0.324,normal
2025-11-10 00:05:30,50.98,3.289,0.282,normal
2025-11-10 00:05:40,64.26,3.326,0.286,normal
2025-11-10 00:05:50,55.9,3.305,0.343,normal
2025-11-10 00:06:00,54.62,3.312,0.3,normal
2025-11-10 00:06:10,57.53,3.329,0.342,normal
2025-11-10 00:06:20,60.26,3.266,0.266,normal
2025-11-10 00:06:30,63.47,3.336,0.264,normal
2025-11-10 00:06:40,53.58,3.344,0.322,normal
2025-11-10 00:06:50,63.07,3.307,0.272,normal
2025-11-10 00:07:00,83.94,3.065,0.217,anomal
2025-11-10 00:07:10,81.44,3.014,0.376,anomal
2025-11-10 00:07:20,63.03,3.31,0.277,normal
2025-11-10 00:07:30,85.11,2.959,0.227,anomal
2025-11-10 00:07:40,64.99,3.265,0.263,normal
2025-11-10 00:07:50,59.17,3.276,0.317,normal
2025-11-10 00:08:00,49.92,3.324,0.264,normal
2025-11-10 00:08:10,56.58,3.289,0.275,normal
2025-11-10 00:08:20,54.17,3.27,0.275,normal
2025-11-10 00:08:30,51.14,3.259,0.331,normal
2025-11-10 00:08:40,52.23,3.329,0.35,normal
2025-11-10 00:08:50,59.58,3.295,0.324,normal
2025-11-10 00:09:00,60.75,3.339,0.266,normal
2025-11-10 00:09:10,56.46,3.269,0.264,normal
2025-11-10 00:09:20,58.03,3.316,0.279,normal
2025-11-10 00:09:30,54.81,3.293,0.251,normal
2025-11-10 00:09:40,56.13,3.305,0.347,normal
2025-11-10 00:09:50,45.05,3.307,0.283,normal
2025-11-10 00:10:00,54.5,3.306,0.331,normal
2025-11-10 00:10:10,84.15,3.38,0.229,anomal
2025-11-10 00:10:20,62.15,3.325,0.322,normal
2025-11-10 00:10:30,47.91,3.298,0.277,normal
2025-11-10 00:10:40,64.78,3.295,0.295,normal
2025-11-10 00:10:50,46.29,3.282,0.343,normal
2025-11-10 00:11:00,47.79,3.287,0.292,normal
2025-11-10 00:11:10,51.91,3.281,0.256,normal
2025-11-10 00:11:20,47.0,3.281,0.26,normal
2025-11-10 00:11:30,48.61,3.259,0.326,normal
2025-11-10 00:11:40,54.45,3.338,0.329,normal
2025-11-10 00:11:50,50.77,3.31,0.26,normal
2025-11-10 00:12:00,64.1,3.348,0.263,normal
